region,country,pop_100k,life_expectancy_years,health_expenditure_usd
Middle East and North Africa,Kuwait,39.08745,75.129997253418,
Europe and Central Asia,Kyrgyzstan,59.14985,70.6512222290039,
East Asia and Pacific,Laos,67.8742,66.5459976196289,
Europe and Central Asia,Latvia,19.91951,74.4804840087891,1229.7855
Middle East and North Africa,Lebanon,63.98941,78.7679977416992,
Sub-Saharan Africa,Lesotho,21.18532,51.0379981994629,
Sub-Saharan Africa,Liberia,46.1233,62.2690010070801,
Middle East and North Africa,Libya,61.92241,72.1210021972656,
Europe and Central Asia,Liechtenstein,0.37378,82.6560974121094,
Europe and Central Asia,Lithuania,29.63764,74.3219528198242,
Europe and Central Asia,Luxembourg,5.69415,82.2926864624023,6758.7884
East Asia and Pacific,Macao,6.15243,83.7070007324219,
Sub-Saharan Africa,Madagascar,248.50912,65.5390014648438,
Sub-Saharan Africa,Malawi,169.38944,61.9529991149902,
East Asia and Pacific,Malaysia,310.68834,75.4609985351563,
South Asia,Maldives,4.3559,77.6910018920898,
Sub-Saharan Africa,Mali,181.1291,57.5089988708496,
Middle East and North Africa,Malta,4.56585,81.8975601196289,
East Asia and Pacific,Marshall Islands,0.49426,,
Sub-Saharan Africa,Mauritania,39.46225,63.9360008239746,
Sub-Saharan Africa,Mauritius,12.93159,74.3531723022461,
Latin America and Caribbean,Mexico,1201.49896,74.9039993286133,956.2196
Europe and Central Asia,Moldova,32.7739,71.4779968261719,
Europe and Central Asia,Monaco,0.36781,,
East Asia and Pacific,Mongolia,29.64756,69.1110000610352,
Europe and Central Asia,Montenegro,6.33969,76.4487838745117,
Middle East and North Africa,Morocco,346.80456,75.7259979248047,
Sub-Saharan Africa,Mozambique,268.43252,57.2060012817383,
East Asia and Pacific,Myanmar,514.83956,65.8099975585938,
Sub-Saharan Africa,Namibia,22.82709,62.1189994812012,
East Asia and Pacific,Nauru,0.11207,,
South Asia,Nepal,276.10328,69.5149993896484,
Europe and Central Asia,Netherlands,170.4111,81.5097579956055,4885.5541
East Asia and Pacific,New Caledonia,2.83041,77.2804870605469,
East Asia and Pacific,New Zealand,45.90591,81.4568328857422,3183.9663
Latin America and Caribbean,Nicaragua,62.9861,73.6490020751953,
Sub-Saharan Africa,Niger,201.28132,60.6310005187988,
Sub-Saharan Africa,Nigeria,1839.95776,53.1119995117188,
East Asia and Pacific,North Korea,252.58012,71.4810028076172,
Europe and Central Asia,North Macedonia,21.07965,75.4024353027344,
East Asia and Pacific,Northern Mariana Islands,0.51538,,
Europe and Central Asia,Norway,51.90357,82.3048782348633,5926.4438
Middle East and North Africa,Oman,41.91784,76.8870010375977,
South Asia,Pakistan,2109.69296,66.5770034790039,
East Asia and Pacific,Palau,0.17822,,
Middle East and North Africa,Palestine,44.84615,73.4420013427734,
Latin America and Caribbean,Panama,39.57102,77.7760009765625,
East Asia and Pacific,Papua New Guinea,86.82172,63.4659996032715,
Latin America and Caribbean,Paraguay,61.77954,73.6620025634766,
Latin America and Caribbean,Peru,307.11864,75.7919998168945,
East Asia and Pacific,Philippines,1030.3136,70.6439971923828,
Europe and Central Asia,Poland,385.53148,77.4512176513672,1527.8929
Europe and Central Asia,Portugal,103.65436,81.1243896484375,2319.3756
Latin America and Caribbean,Puerto Rico,34.97335,79.3534851074219,
Middle East and North Africa,Qatar,24.1458,79.7580032348633,
Europe and Central Asia,Romania,199.06078,74.9121932983399,
Europe and Central Asia,Russia,1446.68384,71.1834182739258,
Sub-Saharan Africa,Rwanda,116.42963,67.4499969482422,
Latin America and Caribbean,Saint Kitts and Nevis,0.47814,,
Latin America and Caribbean,Saint Lucia,1.75638,75.5960006713867,
Latin America and Caribbean,Saint Martin (French part),,79.3219528198242,
Latin America and Caribbean,Saint Martin (French part),0.35042,,
Latin America and Caribbean,Saint Vincent and the Grenadines,1.06493,72.0950012207031,
East Asia and Pacific,Samoa,2.03586,72.7300033569336,
Europe and Central Asia,San Marino,0.33593,,
Sub-Saharan Africa,Sao Tome and Principe,2.01142,69.3769989013672,
Middle East and North Africa,Saudi Arabia,327.49838,74.6510009765625,
Sub-Saharan Africa,Senegal,143.56191,66.7470016479492,
Europe and Central Asia,Serbia,75.19501,75.2878036499024,
Sub-Saharan Africa,Seychelles,0.9926,74.2951202392578,
Sub-Saharan Africa,Sierra Leone,73.14779,52.9410018920899,
East Asia and Pacific,Singapore,56.5002,82.7439041137695,
Latin America and Caribbean,Sint Maarten (Dutch part),0.40228,77.2195129394531,
Europe and Central Asia,Slovakia,54.24449,76.5634155273438,
Europe and Central Asia,Slovenia,20.80865,80.7756118774414,2353.321
East Asia and Pacific,Solomon Islands,6.1267,72.1729965209961,
Sub-Saharan Africa,Somalia,137.63909,55.9199981689453,
Sub-Saharan Africa,South Africa,558.76504,62.6489982604981,
East Asia and Pacific,South Korea,509.94396,82.0243911743164,
Sub-Saharan Africa,South Sudan,111.943,56.8549995422363,
Europe and Central Asia,Spain,464.31344,82.8317108154297,2896.8668
South Asia,Sri Lanka,213.36692,76.3160018920899,
Sub-Saharan Africa,Sudan,381.71172,64.4290008544922,
Latin America and Caribbean,Suriname,5.75478,71.2490005493164,
Europe and Central Asia,Sweden,98.49344,82.2048797607422,4906.8583
Europe and Central Asia,Switzerland,82.81735,82.8975601196289,6062.2568
Middle East and North Africa,Syria,192.05178,69.9079971313477,
Europe and Central Asia,Tajikistan,85.24066,70.1370010375977,
Sub-Saharan Africa,Tanzania,525.42824,63.1110000610352,
East Asia and Pacific,Thailand,702.94408,76.0910034179688,
East Asia and Pacific,Timor,12.05822,68.4589996337891,
Sub-Saharan Africa,Togo,74.73232,59.9269981384277,
East Asia and Pacific,Tonga,1.0614,70.5169982910156,
Latin America and Caribbean,Trinidad and Tobago,14.6018,72.9410018920899,
Middle East and North Africa,Tunisia,115.57779,75.9219970703125,
Europe and Central Asia,Turkey,796.46176,76.5319976806641,974.8436
Europe and Central Asia,Turkmenistan,57.66427,67.7040023803711,
Latin America and Caribbean,Turks and Caicos Islands,0.36556,,
East Asia and Pacific,Tuvalu,0.10896,,
Sub-Saharan Africa,Uganda,374.77356,61.3730010986328,
